date,clean,accint,ytm,facevalue,secid
2021-01-04,112.215,17.86,5.52,1000,SU26226RMFS9
2021-01-05,112.276,18.08,5.51,1000,SU26226RMFS9
2021-01-06,112.129,18.3,5.53,1000,SU26226RMFS9
2021-01-08,112.315,18.73,5.5,1000,SU26226RMFS9
2021-01-11,111.75,19.38,5.61,1000,SU26226RMFS9
2021-01-12,111.784,19.6,5.61,1000,SU26226RMFS9
2021-01-13,111.495,19.82,5.65,1000,SU26226RMFS9
2021-01-14,111.398,20.04,5.67,1000,SU26226RMFS9
2021-01-15,110.999,20.26,5.75,1000,SU26226RMFS9
2021-01-18,110.849,20.91,5.78,1000,SU26226RMFS9
2021-01-19,110.981,21.13,5.75,1000,SU26226RMFS9
2021-01-20,110.999,21.34,5.75,1000,SU26226RMFS9
2021-01-21,110.974,21.56,5.75,1000,SU26226RMFS9
2021-01-22,110.5,21.78,5.84,1000,SU26226RMFS9
2021-01-25,110.305,22.43,5.88,1000,SU26226RMFS9
2021-01-26,110.628,22.65,5.82,1000,SU26226RMFS9
2021-01-27,110.301,22.87,5.88,1000,SU26226RMFS9
2021-01-28,110.45,23.09,5.85,1000,SU26226RMFS9
2021-01-29,110.598,23.3,5.82,1000,SU26226RMFS9
2021-02-01,110.68,23.96,5.8,1000,SU26226RMFS9
2021-02-02,110.52,24.18,5.83,1000,SU26226RMFS9
2021-02-03,110.53,24.39,5.83,1000,SU26226RMFS9
2021-02-04,110.592,24.61,5.82,1000,SU26226RMFS9
2021-02-05,110.811,24.83,5.77,1000,SU26226RMFS9
2021-02-08,111.05,25.48,5.72,1000,SU26226RMFS9
2021-02-09,110.779,25.7,5.77,1000,SU26226RMFS9
2021-02-10,110.653,25.92,5.8,1000,SU26226RMFS9
2021-02-11,110.266,26.14,5.88,1000,SU26226RMFS9
2021-02-12,109.701,26.35,5.97,1000,SU26226RMFS9
2021-02-15,109.337,27.01,6.06,1000,SU26226RMFS9
2021-02-16,108.87,27.23,6.16,1000,SU26226RMFS9
2021-02-17,108.902,27.44,6.09,1000,SU26226RMFS9
2021-02-18,108.967,27.66,6.14,1000,SU26226RMFS9
2021-02-19,108.662,27.88,6.2,1000,SU26226RMFS9
2021-02-20,108.479,28.1,6.24,1000,SU26226RMFS9
2021-02-22,108.5,28.53,6.23,1000,SU26226RMFS9
2021-02-24,108.578,28.97,6.22,1000,SU26226RMFS9
2021-02-25,108.079,29.19,6.32,1000,SU26226RMFS9
2021-02-26,107.619,29.4,6.41,1000,SU26226RMFS9
2021-03-01,107.749,30.06,6.38,1000,SU26226RMFS9
2021-03-02,108.03,30.27,6.32,1000,SU26226RMFS9
2021-03-03,108.3,30.49,6.27,1000,SU26226RMFS9
2021-03-04,108.499,30.71,6.22,1000,SU26226RMFS9
2021-03-05,108.072,30.93,6.31,1000,SU26226RMFS9
2021-03-09,108.022,31.8,6.32,1000,SU26226RMFS9
2021-03-10,107.87,32.02,6.35,1000,SU26226RMFS9
2021-03-11,107.624,32.23,6.4,1000,SU26226RMFS9
2021-03-12,107.395,32.45,6.45,1000,SU26226RMFS9
2021-03-15,107.094,33.11,6.52,1000,SU26226RMFS9
2021-03-16,107.083,33.32,6.51,1000,SU26226RMFS9
2021-03-17,106.836,33.54,6.57,1000,SU26226RMFS9
2021-03-18,106.199,33.76,6.71,1000,SU26226RMFS9
2021-03-19,106.06,33.98,6.74,1000,SU26226RMFS9
2021-03-22,105.755,34.63,6.8,1000,SU26226RMFS9
2021-03-23,105.19,34.85,6.92,1000,SU26226RMFS9
2021-03-24,105.017,35.07,6.97,1000,SU26226RMFS9
2021-03-25,105.498,35.28,6.86,1000,SU26226RMFS9
2021-03-26,106.039,35.5,6.74,1000,SU26226RMFS9
2021-03-29,106.09,36.16,6.72,1000,SU26226RMFS9
2021-03-30,105.81,36.37,6.79,1000,SU26226RMFS9
2021-03-31,105.802,36.59,6.79,1000,SU26226RMFS9
2021-04-01,105.739,36.81,6.8,1000,SU26226RMFS9
2021-04-02,105.699,37.03,6.81,1000,SU26226RMFS9
2021-04-05,105.889,37.68,6.77,1000,SU26226RMFS9
2021-04-06,105.322,37.9,6.89,1000,SU26226RMFS9
2021-04-07,104.94,38.12,6.97,1000,SU26226RMFS9
2021-04-08,104.749,38.33,7.02,1000,SU26226RMFS9
2021-04-09,104.699,38.55,7.03,1000,SU26226RMFS9
2021-04-12,104.989,39.2,6.96,1000,SU26226RMFS9
2021-04-13,105.0,39.42,6.96,1000,SU26226RMFS9
2021-04-14,106.101,0.0,6.71,1000,SU26226RMFS9
2021-04-15,105.613,0.22,6.84,1000,SU26226RMFS9
2021-04-16,106.24,0.44,6.68,1000,SU26226RMFS9
2021-04-19,105.899,1.09,6.76,1000,SU26226RMFS9
2021-04-20,105.6,1.31,6.82,1000,SU26226RMFS9
2021-04-21,106.005,1.52,6.72,1000,SU26226RMFS9
2021-04-22,106.35,1.74,6.65,1000,SU26226RMFS9
2021-04-23,106.249,1.96,6.68,1000,SU26226RMFS9
2021-04-26,106.301,2.61,6.66,1000,SU26226RMFS9
2021-04-27,106.377,2.83,6.68,1000,SU26226RMFS9
2021-04-28,106.25,3.05,6.67,1000,SU26226RMFS9
2021-04-29,106.398,3.27,6.64,1000,SU26226RMFS9
2021-04-30,106.397,3.48,6.64,1000,SU26226RMFS9
2021-05-04,106.499,4.36,6.61,1000,SU26226RMFS9
2021-05-05,106.568,4.57,6.6,1000,SU26226RMFS9
2021-05-06,106.548,4.79,6.6,1000,SU26226RMFS9
2021-05-07,106.577,5.01,6.59,1000,SU26226RMFS9
2021-05-10,106.511,5.66,6.61,1000,SU26226RMFS9
2021-05-11,106.38,5.88,6.63,1000,SU26226RMFS9
2021-05-12,106.268,6.1,6.66,1000,SU26226RMFS9
