isin,name,issuevalue,coupondate,recorddate,startdate,initialfacevalue,facevalue,faceunit,value,valueprc,value_rub,secid,primary_boardid,has_offer
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2019-04-17,2019-04-16,2018-12-19,1000,1000,RUB,25.92,7.95,25.92,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2019-10-16,2019-10-15,2019-04-17,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2020-04-15,2020-04-14,2019-10-16,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2020-10-14,2020-10-13,2020-04-15,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2021-04-14,2021-04-13,2020-10-14,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2021-10-13,2021-10-12,2021-04-14,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2022-04-13,2022-04-12,2021-10-13,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2022-10-12,2022-10-11,2022-04-13,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2023-04-12,2023-04-11,2022-10-12,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2023-10-11,2023-10-10,2023-04-12,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2024-04-10,2024-04-09,2023-10-11,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2024-10-09,2024-10-08,2024-04-10,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2025-04-09,2025-04-08,2024-10-09,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2025-10-08,2025-10-07,2025-04-09,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
RU000A0ZZYW2,ОФЗ-ПД 26226 07/10/26,367210831000,2026-04-08,2026-04-07,2025-10-08,1000,1000,RUB,39.64,7.95,39.64,SU26226RMFS9,TQOB,False
