date,tenor,yield
2021-01-04,0.25,4.034
2021-01-04,0.5,4.086
2021-01-04,0.75,4.1379
2021-01-04,1.0,4.1969
2021-01-04,2.0,4.5014
2021-01-04,3.0,4.8683
2021-01-04,5.0,5.4392
2021-01-04,7.0,5.8354
2021-01-04,10.0,6.2481
2021-01-04,15.0,6.6499
2021-01-04,20.0,6.8673
2021-01-05,0.25,3.976
2021-01-05,0.5,4.0437
2021-01-05,0.75,4.1107
2021-01-05,1.0,4.1794
2021-01-05,2.0,4.4817
2021-01-05,3.0,4.8158
2021-01-05,5.0,5.3797
2021-01-05,7.0,5.7955
2021-01-05,10.0,6.2201
2021-01-05,15.0,6.6209
2021-01-05,20.0,6.8377
2021-01-06,0.25,3.8508
2021-01-06,0.5,3.9472
2021-01-06,0.75,4.037
2021-01-06,1.0,4.1149
2021-01-06,2.0,4.422
2021-01-06,3.0,4.7881
2021-01-06,5.0,5.3999
2021-01-06,7.0,5.8261
2021-01-06,10.0,6.2357
2021-01-06,15.0,6.6157
2021-01-06,20.0,6.8213
2021-01-08,0.25,3.7797
2021-01-08,0.5,3.8835
2021-01-08,0.75,3.9874
2021-01-08,1.0,4.0837
2021-01-08,2.0,4.4579
2021-01-08,3.0,4.8441
2021-01-08,5.0,5.448
2021-01-08,7.0,5.854
2021-01-08,10.0,6.245
2021-01-08,15.0,6.5866
2021-01-08,20.0,6.7577
2021-01-11,0.25,4.168
2021-01-11,0.5,4.1875
2021-01-11,0.75,4.2184
2021-01-11,1.0,4.2645
2021-01-11,2.0,4.5551
2021-01-11,3.0,4.9206
2021-01-11,5.0,5.5159
2021-01-11,7.0,5.9287
2021-01-11,10.0,6.3367
2021-01-11,15.0,6.7013
2021-01-11,20.0,6.8887
2021-01-12,0.25,4.2101
2021-01-12,0.5,4.23
2021-01-12,0.75,4.2632
2021-01-12,1.0,4.3105
2021-01-12,2.0,4.5948
2021-01-12,3.0,4.9435
2021-01-12,5.0,5.5258
2021-01-12,7.0,5.9318
2021-01-12,10.0,6.3256
2021-01-12,15.0,6.6829
2021-01-12,20.0,6.8688
2021-01-13,0.25,4.1586
2021-01-13,0.5,4.1845
2021-01-13,0.75,4.2295
2021-01-13,1.0,4.2911
2021-01-13,2.0,4.6256
2021-01-13,3.0,4.9891
2021-01-13,5.0,5.582
2021-01-13,7.0,5.9903
2021-01-13,10.0,6.3839
2021-01-13,15.0,6.7344
2021-01-13,20.0,6.9113
2021-01-14,0.25,4.1967
2021-01-14,0.5,4.2347
2021-01-14,0.75,4.2875
2021-01-14,1.0,4.3516
2021-01-14,2.0,4.6705
2021-01-14,3.0,5.0099
2021-01-14,5.0,5.5765
2021-01-14,7.0,5.9831
2021-01-14,10.0,6.3913
2021-01-14,15.0,6.7639
2021-01-14,20.0,6.9539
2021-01-15,0.25,4.1692
2021-01-15,0.5,4.2189
2021-01-15,0.75,4.2839
2021-01-15,1.0,4.361
2021-01-15,2.0,4.7273
2021-01-15,3.0,5.0944
2021-01-15,5.0,5.6738
2021-01-15,7.0,6.0741
2021-01-15,10.0,6.4745
2021-01-15,15.0,6.8477
2021-01-15,20.0,7.0417
2021-01-18,0.25,4.1664
2021-01-18,0.5,4.2159
2021-01-18,0.75,4.2799
2021-01-18,1.0,4.3551
2021-01-18,2.0,4.7146
2021-01-18,3.0,5.0861
2021-01-18,5.0,5.6878
2021-01-18,7.0,6.1031
2021-01-18,10.0,6.5035
2021-01-18,15.0,6.864
2021-01-18,20.0,7.0484
2021-01-19,0.25,4.1546
2021-01-19,0.5,4.2071
2021-01-19,0.75,4.2723
2021-01-19,1.0,4.3471
2021-01-19,2.0,4.6971
2021-01-19,3.0,5.0562
2021-01-19,5.0,5.6442
2021-01-19,7.0,6.0596
2021-01-19,10.0,6.47
2021-01-19,15.0,6.8442
2021-01-19,20.0,7.0394
2021-01-20,0.25,4.0914
2021-01-20,0.5,4.152
2021-01-20,0.75,4.2267
2021-01-20,1.0,4.3123
2021-01-20,2.0,4.7031
2021-01-20,3.0,5.0844
2021-01-20,5.0,5.6708
2021-01-20,7.0,6.0667
2021-01-20,10.0,6.4582
2021-01-20,15.0,6.8189
2021-01-20,20.0,7.0051
2021-01-21,0.25,4.1349
2021-01-21,0.5,4.164
2021-01-21,0.75,4.2148
2021-01-21,1.0,4.2866
2021-01-21,2.0,4.6761
2021-01-21,3.0,5.0843
2021-01-21,5.0,5.7065
2021-01-21,7.0,6.1122
2021-01-21,10.0,6.4991
2021-01-21,15.0,6.8419
2021-01-21,20.0,7.0157
2021-01-22,0.25,4.1173
2021-01-22,0.5,4.1585
2021-01-22,0.75,4.2199
2021-01-22,1.0,4.3001
2021-01-22,2.0,4.7187
2021-01-22,3.0,5.1584
2021-01-22,5.0,5.8147
2021-01-22,7.0,6.2327
2021-01-22,10.0,6.628
2021-01-22,15.0,6.9774
2021-01-22,20.0,7.1471
2021-01-25,0.25,4.1244
2021-01-25,0.5,4.1741
2021-01-25,0.75,4.2431
2021-01-25,1.0,4.3278
2021-01-25,2.0,4.7481
2021-01-25,3.0,5.182
2021-01-25,5.0,5.8222
2021-01-25,7.0,6.2244
2021-01-25,10.0,6.6038
2021-01-25,15.0,6.9448
2021-01-25,20.0,7.1175
2021-01-26,0.25,4.1304
2021-01-26,0.5,4.1735
2021-01-26,0.75,4.2372
2021-01-26,1.0,4.317
2021-01-26,2.0,4.7149
2021-01-26,3.0,5.1237
2021-01-26,5.0,5.7579
2021-01-26,7.0,6.1763
2021-01-26,10.0,6.5724
2021-01-26,15.0,6.9186
2021-01-26,20.0,7.0899
2021-01-27,0.25,4.1895
2021-01-27,0.5,4.2216
2021-01-27,0.75,4.2776
2021-01-27,1.0,4.3528
2021-01-27,2.0,4.7491
2021-01-27,3.0,5.1649
2021-01-27,5.0,5.8111
2021-01-27,7.0,6.232
2021-01-27,10.0,6.6206
2021-01-27,15.0,6.9467
2021-01-27,20.0,7.1084
2021-01-28,0.25,4.2605
2021-01-28,0.5,4.2784
2021-01-28,0.75,4.3226
2021-01-28,1.0,4.3883
2021-01-28,2.0,4.7597
2021-01-28,3.0,5.1606
2021-01-28,5.0,5.7948
2021-01-28,7.0,6.2153
2021-01-28,10.0,6.6139
2021-01-28,15.0,6.9669
2021-01-28,20.0,7.1436
2021-01-29,0.25,4.2191
2021-01-29,0.5,4.2363
2021-01-29,0.75,4.2827
2021-01-29,1.0,4.3527
2021-01-29,2.0,4.742
2021-01-29,3.0,5.146
2021-01-29,5.0,5.7786
2021-01-29,7.0,6.1955
2021-01-29,10.0,6.5879
2021-01-29,15.0,6.9321
2021-01-29,20.0,7.1056
2021-02-01,0.25,4.2472
2021-02-01,0.5,4.259
2021-02-01,0.75,4.2996
2021-02-01,1.0,4.3624
2021-02-01,2.0,4.731
2021-02-01,3.0,5.1357
2021-02-01,5.0,5.769
2021-02-01,7.0,6.1838
2021-02-01,10.0,6.5756
2021-02-01,15.0,6.9162
2021-02-01,20.0,7.0871
2021-02-02,0.25,4.2408
2021-02-02,0.5,4.2631
2021-02-02,0.75,4.3104
2021-02-02,1.0,4.3773
2021-02-02,2.0,4.7463
2021-02-02,3.0,5.1444
2021-02-02,5.0,5.7845
2021-02-02,7.0,6.2177
2021-02-02,10.0,6.6335
2021-02-02,15.0,7.0035
2021-02-02,20.0,7.1889
2021-02-03,0.25,4.1587
2021-02-03,0.5,4.2048
2021-02-03,0.75,4.2728
2021-02-03,1.0,4.3569
2021-02-03,2.0,4.767
2021-02-03,3.0,5.1779
2021-02-03,5.0,5.8203
2021-02-03,7.0,6.2504
2021-02-03,10.0,6.6653
2021-02-03,15.0,7.0379
2021-02-03,20.0,7.2247
2021-02-04,0.25,4.1873
2021-02-04,0.5,4.235
2021-02-04,0.75,4.301
2021-02-04,1.0,4.3814
2021-02-04,2.0,4.7719
2021-02-04,3.0,5.165
2021-02-04,5.0,5.7824
2021-02-04,7.0,6.2118
2021-02-04,10.0,6.6474
2021-02-04,15.0,7.0385
2021-02-04,20.0,7.2343
2021-02-05,0.25,4.1569
2021-02-05,0.5,4.2089
2021-02-05,0.75,4.2771
2021-02-05,1.0,4.3571
2021-02-05,2.0,4.7322
2021-02-05,3.0,5.1062
2021-02-05,5.0,5.705
2021-02-05,7.0,6.1253
2021-02-05,10.0,6.5474
2021-02-05,15.0,6.9306
2021-02-05,20.0,7.1294
2021-02-08,0.25,4.2113
2021-02-08,0.5,4.2396
2021-02-08,0.75,4.289
2021-02-08,1.0,4.3582
2021-02-08,2.0,4.7278
2021-02-08,3.0,5.1097
2021-02-08,5.0,5.7146
2021-02-08,7.0,6.1322
2021-02-08,10.0,6.545
2021-02-08,15.0,6.9056
2021-02-08,20.0,7.0867
2021-02-09,0.25,4.2856
2021-02-09,0.5,4.294
2021-02-09,0.75,4.3291
2021-02-09,1.0,4.3868
2021-02-09,2.0,4.7411
2021-02-09,3.0,5.1437
2021-02-09,5.0,5.7847
2021-02-09,7.0,6.2113
2021-02-09,10.0,6.615
2021-02-09,15.0,6.9567
2021-02-09,20.0,7.124
2021-02-10,0.25,4.2957
2021-02-10,0.5,4.3127
2021-02-10,0.75,4.3569
2021-02-10,1.0,4.4232
2021-02-10,2.0,4.7992
2021-02-10,3.0,5.1981
2021-02-10,5.0,5.8079
2021-02-10,7.0,6.2177
2021-02-10,10.0,6.6324
2021-02-10,15.0,6.9952
2021-02-10,20.0,7.1736
2021-02-11,0.25,4.3877
2021-02-11,0.5,4.3996
2021-02-11,0.75,4.4379
2021-02-11,1.0,4.4988
2021-02-11,2.0,4.8596
2021-02-11,3.0,5.2568
2021-02-11,5.0,5.8846
2021-02-11,7.0,6.3071
2021-02-11,10.0,6.7168
2021-02-11,15.0,7.0651
2021-02-11,20.0,7.2375
2021-02-12,0.25,4.45
2021-02-12,0.5,4.4775
2021-02-12,0.75,4.532
2021-02-12,1.0,4.6067
2021-02-12,2.0,4.9943
2021-02-12,3.0,5.3823
2021-02-12,5.0,5.9895
2021-02-12,7.0,6.3986
2021-02-12,10.0,6.7949
2021-02-12,15.0,7.1334
2021-02-12,20.0,7.3001
2021-02-15,0.25,4.5085
2021-02-15,0.5,4.5341
2021-02-15,0.75,4.5847
2021-02-15,1.0,4.654
2021-02-15,2.0,5.031
2021-02-15,3.0,5.4383
2021-02-15,5.0,6.0797
2021-02-15,7.0,6.4994
2021-02-15,10.0,6.8849
2021-02-15,15.0,7.2045
2021-02-15,20.0,7.3624
2021-02-16,0.25,4.502
2021-02-16,0.5,4.5503
2021-02-16,0.75,4.6153
2021-02-16,1.0,4.6926
2021-02-16,2.0,5.0787
2021-02-16,3.0,5.4998
2021-02-16,5.0,6.1552
2021-02-16,7.0,6.5784
2021-02-16,10.0,6.9642
2021-02-16,15.0,7.2909
2021-02-16,20.0,7.455
2021-02-17,0.25,4.6181
2021-02-17,0.5,4.6518
2021-02-17,0.75,4.7073
2021-02-17,1.0,4.7793
2021-02-17,2.0,5.162
2021-02-17,3.0,5.5802
2021-02-17,5.0,6.2158
2021-02-17,7.0,6.6143
2021-02-17,10.0,6.9708
2021-02-17,15.0,7.2668
2021-02-17,20.0,7.4142
2021-02-18,0.25,4.5684
2021-02-18,0.5,4.5972
2021-02-18,0.75,4.6499
2021-02-18,1.0,4.7198
2021-02-18,2.0,5.0945
2021-02-18,3.0,5.5018
2021-02-18,5.0,6.1276
2021-02-18,7.0,6.5272
2021-02-18,10.0,6.8913
2021-02-18,15.0,7.1866
2021-02-18,20.0,7.3289
2021-02-19,0.25,4.5824
2021-02-19,0.5,4.6068
2021-02-19,0.75,4.657
2021-02-19,1.0,4.7264
2021-02-19,2.0,5.1157
2021-02-19,3.0,5.5524
2021-02-19,5.0,6.2054
2021-02-19,7.0,6.6026
2021-02-19,10.0,6.9507
2021-02-19,15.0,7.2379
2021-02-19,20.0,7.3814
2021-02-22,0.25,4.5086
2021-02-22,0.5,4.5248
2021-02-22,0.75,4.5749
2021-02-22,1.0,4.6499
2021-02-22,2.0,5.0797
2021-02-22,3.0,5.5464
2021-02-22,5.0,6.221
2021-02-22,7.0,6.6165
2021-02-22,10.0,6.9553
2021-02-22,15.0,7.2308
2021-02-22,20.0,7.3667
2021-02-24,0.25,4.6027
2021-02-24,0.5,4.6264
2021-02-24,0.75,4.6781
2021-02-24,1.0,4.7486
2021-02-24,2.0,5.1318
2021-02-24,3.0,5.5527
2021-02-24,5.0,6.2007
2021-02-24,7.0,6.6014
2021-02-24,10.0,6.946
2021-02-24,15.0,7.2252
2021-02-24,20.0,7.3656
2021-02-25,0.25,4.5934
2021-02-25,0.5,4.618
